token,campanha,mensagem_id,id_cliente,contato,tipo,canal,link,preparada_em
ajtdvxg4xvfeb2mw,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11997283256,telefone,sms,https://portal.exemplo.com.br/r/ajtdvxg4xvfeb2mw,2026-09-18
yrrt6az562txtstr,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11997283256,telefone,whatsapp,https://portal.exemplo.com.br/r/yrrt6az562txtstr,2026-09-18
o6herpmsbov7yc3c,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11997283256,telefone,rcs,https://portal.exemplo.com.br/r/o6herpmsbov7yc3c,2026-09-18
kjnqq2cpideyfaje,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11969742764,telefone,sms,https://portal.exemplo.com.br/r/kjnqq2cpideyfaje,2026-09-18
7jzuadxav5da6vw5,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11969742764,telefone,whatsapp,https://portal.exemplo.com.br/r/7jzuadxav5da6vw5,2026-09-18
vdjtjx73k5kvwsy6,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11969742764,telefone,rcs,https://portal.exemplo.com.br/r/vdjtjx73k5kvwsy6,2026-09-18
htjwxbobaqzccc45,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11921091349,telefone,sms,https://portal.exemplo.com.br/r/htjwxbobaqzccc45,2026-09-18
jnc273lijp3bobt6,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11921091349,telefone,whatsapp,https://portal.exemplo.com.br/r/jnc273lijp3bobt6,2026-09-18
tv42d2o7if77i7iv,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11921091349,telefone,rcs,https://portal.exemplo.com.br/r/tv42d2o7if77i7iv,2026-09-18
7fh3eam2hvoe52j5,CAMP-NOVOS-2026-09,MSG-V1,C0000500,11978417285,telefone,sms,https://portal.exemplo.com.br/r/7fh3eam2hvoe52j5,2026-09-18
