id_cliente;contato;tipo;origem;cpf;whatsapp_valido;atualizado_em
C0000000;(11) 91399-9315;telefone;bureau;;0;2026-07-22
C0000001;(11) 91087-2248;telefone;bureau;10000000108;1;2026-07-23
C0000001;11966722344;telefone;enriquecimento;10000000108;1;2026-07-23
C0000001;11955176955;telefone;cadastro;10000000108;1;2026-07-23
C0000001;cliente1_0@exemplo.com;email;cadastro;10000000108;0;2026-07-23
C0000002;(11) 99301-6315;telefone;bureau;;1;2026-07-20
C0000002;(11) 93580-8537;telefone;enriquecimento;;1;2026-07-20
C0000002;(11) 94058-7988;telefone;cadastro;;0;2026-07-20
C0000003;(11) 99697-7837;telefone;cadastro;;0;2026-07-25
C0000003;(11) 98169-1040;telefone;cadastro;10000000361;1;2026-07-25
C0000003;(11) 96092-9647;telefone;bureau;10000000361;1;2026-07-25
C0000003;cliente3_0@exemplo.com;email;bureau;;0;2026-07-25
C0000003;cliente3_1@exemplo.com;email;enriquecimento;10000000361;0;2026-07-25
C0000004;11938538251;telefone;bureau;10000000442;0;2026-07-20
C0000004;cliente4_0@exemplo.com;email;cadastro;;1;2026-07-20
C0000005;(11) 96360-6628;telefone;bureau;10000000523;0;2026-07-21
C0000005;11928566572;telefone;cadastro;10000000523;1;2026-07-21
C0000005;11916323852;telefone;bureau;10000000523;1;2026-07-21
C0000005;(11) 93147-2420;telefone;enriquecimento;10000000523;1;2026-07-21
C0000006;(11) 99602-8436;telefone;bureau;;1;2026-07-18
C0000006;cliente6_0@exemplo.com;email;enriquecimento;10000000604;0;2026-07-18
C0000007;11950056581;telefone;enriquecimento;10000000795;1;2026-07-19
C0000008;11958718453;telefone;cadastro;10000000876;0;2026-07-21
C0000008;(11) 95127-3847;telefone;enriquecimento;10000000876;1;2026-07-21
C0000008;11986149359;telefone;enriquecimento;;1;2026-07-21
C0000008;cliente8_0@exemplo.com;email;cadastro;10000000876;0;2026-07-21
C0000009;11982383095;telefone;enriquecimento;10000000957;0;2026-07-13
C0000009;11951837852;telefone;bureau;10000000957;0;2026-07-13
C0000009;11960119651;telefone;enriquecimento;;1;2026-07-13
C0000009;11926240908;telefone;cadastro;10000000957;1;2026-07-13
C0000010;11919510312;telefone;bureau;10000001090;1;2026-07-23
C0000010;cliente10_0@exemplo.com;email;cadastro;10000001090;1;2026-07-23
C0000011;(11) 95755-3014;telefone;cadastro;10000001171;1;2026-07-18
C0000011;(11) 91727-0733;telefone;enriquecimento;10000001171;1;2026-07-18
C0000011;cliente11_0@exemplo.com;email;enriquecimento;;0;2026-07-18
C0000011;cliente11_1@exemplo.com;email;cadastro;10000001171;0;2026-07-18
C0000012;11969476001;telefone;cadastro;10000001252;0;2026-07-18
C0000012;11983863413;telefone;cadastro;10000001252;0;2026-07-18
C0000012;(11) 98255-6484;telefone;bureau;10000001252;0;2026-07-18
C0000013;(11) 94828-5503;telefone;bureau;10000001333;0;2026-07-23
C0000013;(11) 98459-3961;telefone;enriquecimento;10000001333;1;2026-07-23
C0000013;11935487660;telefone;enriquecimento;;0;2026-07-23
C0000013;11987736262;telefone;cadastro;;1;2026-07-23
C0000014;11919196777;telefone;cadastro;10000001414;0;2026-07-20
C0000015;(11) 93741-5205;telefone;cadastro;10000001503;0;2026-07-15
C0000015;11945650176;telefone;cadastro;10000001503;0;2026-07-15
C0000015;(11) 95026-4926;telefone;cadastro;10000001503;0;2026-07-15
C0000016;11919233013;telefone;enriquecimento;;1;2026-07-23
C0000016;11931172421;telefone;cadastro;10000001686;1;2026-07-23
C0000016;cliente16_0@exemplo.com;email;bureau;10000001686;0;2026-07-23
C0000017;11984252420;telefone;bureau;10000001767;1;2026-07-14
C0000017;11947816686;telefone;bureau;10000001767;0;2026-07-14
C0000018;11915917225;telefone;cadastro;10000001848;0;2026-07-17
C0000018;11995511909;telefone;bureau;10000001848;1;2026-07-17
C0000018;(11) 96930-2158;telefone;bureau;;1;2026-07-17
C0000018;(11) 91129-7845;telefone;enriquecimento;10000001848;0;2026-07-17
C0000018;cliente18_0@exemplo.com;email;enriquecimento;10000001848;0;2026-07-17
C0000018;cliente18_1@exemplo.com;email;bureau;10000001848;1;2026-07-17
C0000019;11938195995;telefone;cadastro;10000001929;0;2026-07-18
C0000019;cliente19_0@exemplo.com;email;cadastro;10000001929;0;2026-07-18
C0000020;11913326769;telefone;cadastro;10000002062;0;2026-07-21
