data,id_cliente,tag,estado,prioridade,regua,passo,canal,contato,ordem_contato,condicao,data_fixa,spins_max,janela
2026-09-16,C0000306,S260821-A1-QBR-DC-D5,QBR,1,quebra,D+5,discador,11974082000,1,,True,3,08:00-20:00
2026-09-16,C0000306,S260821-A1-QBR-DC-D5,QBR,1,quebra,D+5,sms,11974082000,1,,True,,08:00-20:00
2026-09-16,C0000022,S260806-B2-PRE-DC-D-3,PRE,2,preventivo,D-3,rcs,11946308897,1,,True,,08:00-20:00
2026-09-16,C0000189,S260808-B2-PRE-DC-D-3,PRE,2,preventivo,D-3,rcs,11979794659,1,,True,,08:00-20:00
2026-09-16,C0000370,S260829-M1-PRE-RC-D-3,PRE,2,preventivo,D-3,rcs,11910822509,1,,True,,08:00-20:00
2026-09-16,C0000014,S260819-A3-CPA-WA-T1,CPA,4,cpc,CPC A · negociação,whatsapp,11979358465,1,,False,,08:00-20:00
2026-09-16,C0000061,S260806-B2-CPA-RC-T1,CPA,4,cpc,CPC A · negociação,rcs,11981232198,1,,False,,08:00-20:00
2026-09-16,C0000099,S260816-M1-CPA-DC-T1,CPA,4,cpc,CPC A · negociação,discador,11986760223,1,,False,3,08:00-20:00
2026-09-16,C0000124,S260822-B1-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,agente_voz,11973785420,1,,False,,08:00-20:00
2026-09-16,C0000124,S260822-B1-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,discador,11973785420,1,se agente_voz sem contato no dia,False,3,08:00-20:00
2026-09-16,C0000124,S260822-B1-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,agente_voz,11994646791,2,,False,,08:00-20:00
2026-09-16,C0000124,S260822-B1-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,discador,11994646791,2,se agente_voz sem contato no dia,False,3,08:00-20:00
2026-09-16,C0000165,S260824-M2-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,agente_voz,11919857586,1,,False,,08:00-20:00
2026-09-16,C0000165,S260824-M2-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,discador,11919857586,1,se agente_voz sem contato no dia,False,3,08:00-20:00
2026-09-16,C0000165,S260824-M2-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,agente_voz,11987239871,2,,False,,08:00-20:00
2026-09-16,C0000165,S260824-M2-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,discador,11987239871,2,se agente_voz sem contato no dia,False,3,08:00-20:00
2026-09-16,C0000191,S260814-B1-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,agente_voz,11981548648,1,,False,,08:00-20:00
2026-09-16,C0000191,S260814-B1-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,discador,11981548648,1,se agente_voz sem contato no dia,False,3,08:00-20:00
2026-09-16,C0000195,S260826-M2-CPA-AV-T1,CPA,4,cpc,CPC A · negociação,agente_voz,11962546398,1,,False,,08:00-20:00
