CPF_CLIENTE;TELEFONE;DT_LIGACAO;COD_TABULACAO;ID_CHAMADA;CUSTO
100.000.280-29;(11) 95229-9387;06/09/2026 08:00;01;CH0000396;0,35
100.000.441-48;(11) 98020-6603;24/08/2026 16:48;01;CH0000626;0,35
100.000.390-63;(11) 93926-0590;06/09/2026 15:18;02;CH0000554;0,35
100.000.002-80;(11) 93580-8537;12/09/2026 14:23;12;CH0000006;0,35
100.000.285-33;(11) 94252-2981;12/08/2026 11:13;01;CH0000405;0,35
100.000.277-23;(11) 91175-6387;02/09/2026 16:36;11;CH0000391;0,35
100.000.196-23;(11) 99688-8739;04/08/2026 17:29;01;CH0000261;0,35
100.000.053-20;(11) 96312-4147;18/08/2026 09:57;01;CH0000076;0,35
100.000.262-47;(11) 92061-8223;28/07/2026 14:11;01;CH0000369;0,35
100.000.469-49;(11) 96914-4114;23/08/2026 10:50;01;CH0000662;0,35
100.000.209-82;(11) 93344-8079;08/09/2026 15:27;01;CH0000283;0,35
100.000.043-59;(11) 94617-3157;12/08/2026 12:04;01;CH0000066;0,35
100.000.244-65;(11) 97464-8438;29/07/2026 11:44;01;CH0000340;0,35
100.000.483-05;(11) 97959-6863;31/07/2026 14:01;10;CH0000681;0,35
100.000.376-05;(11) 96426-2755;30/07/2026 12:03;02;CH0000533;0,35
100.000.433-38;(11) 99012-8603;19/09/2026 08:51;01;CH0000614;0,35
100.000.228-45;(11) 93583-8575;01/09/2026 09:04;01;CH0000315;0,35
100.000.231-40;(11) 94890-1209;08/09/2026 10:23;01;CH0000319;0,35
100.000.423-66;(11) 94486-3921;05/08/2026 11:26;11;CH0000604;0,35
100.000.278-04;(11) 93897-7615;20/08/2026 16:36;01;CH0000392;0,35
100.000.215-20;(11) 98477-6858;08/08/2026 19:46;01;CH0000294;0,35
100.000.128-82;(11) 91230-0840;15/08/2026 16:53;12;CH0000164;0,35
100.000.467-87;(11) 97199-5701;13/08/2026 08:16;01;CH0000657;0,35
100.000.449-03;(11) 91918-0999;31/08/2026 16:11;11;CH0000632;0,35
100.000.109-10;(11) 97340-4979;01/09/2026 15:15;02;CH0000135;0,35
100.000.429-51;(11) 92999-6104;02/09/2026 18:22;01;CH0000611;0,35
100.000.176-80;(11) 91750-3932;10/09/2026 10:17;01;CH0000234;0,35
100.000.296-96;(11) 99159-4977;20/09/2026 15:53;12;CH0000420;0,35
100.000.251-94;(11) 99791-5178;06/08/2026 14:45;11;CH0000348;0,35
100.000.047-82;(11) 99857-5748;01/09/2026 15:49;11;CH0000069;0,35
100.000.110-53;(11) 92200-7214;20/08/2026 12:24;11;CH0000136;0,35
100.000.002-80;(11) 93580-8537;09/08/2026 14:48;12;CH0000007;0,35
100.000.424-47;(11) 98806-0201;09/09/2026 19:29;01;CH0000606;0,35
100.000.220-98;(11) 98430-0459;22/09/2026 11:20;01;CH0000307;0,35
100.000.238-17;(11) 94905-7246;22/09/2026 08:35;02;CH0000331;0,35
100.000.448-14;(11) 95602-3301;11/09/2026 19:53;10;CH0000630;0,35
100.000.119-91;(11) 91305-1483;15/08/2026 16:54;11;CH0000153;0,35
100.000.377-96;(11) 97864-0894;10/09/2026 14:28;01;CH0000535;0,35
100.000.486-40;(11) 97414-2265;18/08/2026 08:14;01;CH0000683;0,35
100.000.497-00;(11) 98355-2661;19/08/2026 16:23;01;CH0000701;0,35
100.000.228-45;(11) 96032-6016;04/09/2026 12:46;01;CH0000314;0,35
100.000.265-90;(11) 92201-9737;16/08/2026 14:53;12;CH0000373;0,35
100.000.343-47;(11) 97367-4613;07/08/2026 16:59;01;CH0000494;0,35
100.000.181-47;(11) 97659-6831;11/08/2026 11:52;10;CH0000244;0,35
100.000.237-36;(11) 99477-5473;29/07/2026 10:40;02;CH0000327;0,35
100.000.020-62;(11) 91332-6769;24/08/2026 14:20;01;CH0000035;0,35
100.000.163-65;(11) 98739-6877;08/09/2026 12:38;12;CH0000215;0,35
100.000.176-80;(11) 94577-2648;01/08/2026 16:52;01;CH0000236;0,35
100.000.316-74;(11) 97083-8623;14/09/2026 12:04;01;CH0000452;0,35
100.000.382-53;(11) 91879-1292;29/08/2026 08:03;01;CH0000538;0,35
100.000.394-97;(11) 99432-8498;23/09/2026 08:53;01;CH0000561;0,35
100.000.369-86;(11) 95866-3129;30/07/2026 16:28;99;CH0000528;0,35
100.000.467-87;(11) 99574-7226;11/09/2026 15:31;01;CH0000656;0,35
100.000.460-00;(11) 92722-6260;08/09/2026 15:34;11;CH0000646;0,35
100.000.055-92;(11) 93208-4778;22/08/2026 09:42;01;CH0000080;0,35
100.000.321-31;(11) 99391-4843;05/09/2026 09:57;01;CH0000459;0,35
100.000.417-18;(11) 97135-5706;09/08/2026 12:17;12;CH0000600;0,35
100.000.324-84;(11) 99188-2291;16/08/2026 13:37;02;CH0000464;0,35
100.000.011-71;(11) 91727-0733;03/09/2026 12:08;11;CH0000026;0,35
100.000.061-30;(11) 92744-7248;25/08/2026 08:29;10;CH0000083;0,35
100.000.270-57;(11) 97185-2177;08/09/2026 12:52;11;CH0000380;0,35
100.000.251-94;(11) 97852-4572;02/09/2026 14:39;12;CH0000349;0,35
100.000.116-49;(11) 94321-4247;26/08/2026 10:15;01;CH0000148;0,35
100.000.304-30;(11) 98099-4013;22/08/2026 18:55;10;CH0000434;0,35
100.000.245-46;(11) 97472-5282;21/08/2026 08:28;01;CH0000341;0,35
100.000.006-04;(11) 99602-8436;09/08/2026 09:43;01;CH0000021;0,35
100.000.497-00;(11) 91726-4306;24/09/2026 19:40;01;CH0000700;0,35
