doc,email,date,event,event_id
10000043923,CLIENTE439_1@EXEMPLO.COM,2026-08-13,bounce_hard,m1064
10000007960,cliente79_1@exemplo.com,2026-08-11,delivered,m187
10000021792,cliente217_1@exemplo.com,2026-08-05,delivered,m500
10000049450,cliente494_0@exemplo.com,2026-09-02,bounce_hard,m1192
10000012378,cliente123_1@exemplo.com,2026-07-29,delivered,m272
10000046191,cliente461_0@exemplo.com,2026-09-11,delivered,m1126
10000044571,cliente445_1@exemplo.com,2026-08-09,bounce_soft,m1082
10000008184,CLIENTE81_0@EXEMPLO.COM,2026-08-18,bounce_hard,m196
10000039810,cliente398_0@exemplo.com,2026-09-06,bounce_hard,m969
10000016527,cliente165_1@exemplo.com,2026-08-18,delivered,m386
10000047597,CLIENTE475_0@EXEMPLO.COM,2026-08-02,delivered,m1148
10000019542,cliente195_0@exemplo.com,2026-08-07,bounce_hard,m456
10000039810,cliente398_0@exemplo.com,2026-07-28,bounce_hard,m970
10000032808,cliente328_0@exemplo.com,2026-09-16,delivered,m788
10000021792,cliente217_0@exemplo.com,2026-08-28,bounce_hard,m503
10000032565,CLIENTE325_1@EXEMPLO.COM,2026-08-07,delivered,m777
10000029939,cliente299_0@exemplo.com,2026-08-04,bounce_hard,m731
10000044571,cliente445_0@exemplo.com,2026-08-27,bounce_hard,m1084
10000023736,cliente237_0@exemplo.com,2026-08-12,bounce_hard,m568
10000007374,cliente73_1@exemplo.com,2026-09-05,open,m165
10000023221,cliente232_1@exemplo.com,2026-08-28,bounce_hard,m547
10000007021,cliente70_1@exemplo.com,2026-09-07,delivered,m148
10000003115,cliente31_0@exemplo.com,2026-08-18,delivered,m52
10000039144,cliente391_1@exemplo.com,2026-09-12,bounce_hard,m957
10000044148,cliente441_0@exemplo.com,2026-09-08,delivered,m1069
10000028703,CLIENTE287_0@EXEMPLO.COM,2026-09-19,delivered,m679
10000034851,cliente348_0@exemplo.com,2026-09-19,bounce_hard,m841
10000012459,cliente124_0@exemplo.com,2026-08-11,delivered,m274
10000006483,CLIENTE64_0@EXEMPLO.COM,2026-09-08,open,m126
10000038415,cliente384_0@exemplo.com,2026-09-13,delivered,m946
10000015393,CLIENTE153_1@EXEMPLO.COM,2026-08-07,bounce_hard,m350
10000027561,cliente275_1@exemplo.com,2026-09-19,bounce_hard,m647
