ID_CLIENTE;MSISDN;DATA_HORA;EVENTO;ID;TARIFA
C0000028;5511964707061;17/08/2026 18:09;ENTREGUE;R40;0,12
C0000159;5511958465780;10/09/2026 12:54;ENTREGUE;R185;0,12
C0000403;5511946613462;03/09/2026 12:25;ENTREGUE;R490;0,12
C0000440;5511976305077;30/07/2026 13:43;ENTREGUE;R541;0,12
C0000005;5511916323852;31/08/2026 10:30;ENTREGUE;R10;0,12
C0000036;5511981259135;08/08/2026 17:29;ENTREGUE;R46;0,12
C0000241;5511939917031;31/07/2026 11:30;ENTREGUE;R305;0,12
C0000327;5511989932574;31/07/2026 11:38;ENTREGUE;R398;0,12
C0000082;5511977378254;03/08/2026 18:34;ENTREGUE;R105;0,12
C0000456;5511964888712;01/08/2026 13:59;ENTREGUE;R557;0,12
C0000198;5511990535106;14/09/2026 18:24;ENTREGUE;R241;0,12
C0000386;5511985982862;07/08/2026 09:37;ENTREGUE;R472;0,12
C0000310;5511965548633;31/07/2026 08:55;FALHA_ENTREGA;R382;0,12
C0000196;5511996888739;08/09/2026 08:28;ENTREGUE;R236;0,12
C0000398;5511959611937;22/08/2026 17:00;ENTREGUE;R485;0,12
C0000236;5511924607269;21/09/2026 18:05;ENTREGUE;R296;0,12
C0000172;5511972014395;31/08/2026 08:49;FALHA_ENTREGA;R198;0,12
C0000270;5511971852177;07/09/2026 11:16;ENTREGUE;R339;0,12
C0000194;5511977796914;13/09/2026 15:20;ENTREGUE;R233;0,12
C0000214;5511964126921;16/09/2026 14:09;ENTREGUE;R272;0,12
C0000292;5511928536762;10/08/2026 12:50;ENTREGUE;R362;0,12
C0000375;5511949002238;16/09/2026 19:15;ENTREGUE;R452;0,12
C0000309;5511994088862;10/08/2026 16:44;ENTREGUE;R379;0,12
C0000039;5511980138498;04/08/2026 08:36;ID_CONFIRMADA;R50;0,12
C0000304;5511980994013;30/07/2026 13:54;ENTREGUE;R373;0,12
C0000326;5511924971907;30/08/2026 18:56;ENTREGUE;R396;0,12
C0000096;5511920901547;26/08/2026 19:19;ENTREGUE;R126;0,12
C0000013;5511984593961;09/09/2026 12:23;ENTREGUE;R25;0,12
C0000452;5511928420515;04/09/2026 09:37;ENTREGUE;R553;0,12
C0000043;5511946173157;04/08/2026 10:31;ENTREGUE;R57;0,12
C0000046;5511974759996;05/08/2026 15:00;ENTREGUE;R63;0,12
C0000488;5511963929804;01/09/2026 18:08;ENTREGUE;R600;0,12
C0000073;5511956892354;27/07/2026 15:33;ENTREGUE;R92;0,12
C0000445;5511969313284;29/08/2026 18:34;ENTREGUE;R549;0,12
C0000015;5511950264926;18/09/2026 16:28;ENTREGUE;R29;0,12
C0000163;5511987396877;23/08/2026 09:20;ENTREGUE;R190;0,12
C0000063;5511918163847;16/08/2026 09:21;ENTREGUE;R82;0,12
C0000131;5511988790652;30/07/2026 19:03;FALHA_ENTREGA;R161;0,12
C0000250;5511992405066;05/09/2026 18:10;ENTREGUE;R316;0,12
C0000055;5511949613214;31/07/2026 19:35;REVOGADO;R77;0,12
C0000007;5511950056581;07/09/2026 17:12;ENTREGUE;R13;0,12
C0000245;5511991270313;16/08/2026 08:19;FALHA_ENTREGA;R310;0,12
C0000041;5511996924061;30/08/2026 08:24;FALHA_ENTREGA;R55;0,12
C0000012;5511969476001;17/08/2026 09:42;ENTREGUE;R23;0,12
C0000408;5511949017499;19/09/2026 19:55;ENTREGUE;R501;0,12
C0000425;5511929670044;27/08/2026 18:05;ENTREGUE;R517;0,12
C0000047;5511950071487;11/08/2026 08:39;ENTREGUE;R65;0,12
C0000048;5511914968688;07/08/2026 12:26;ENTREGUE;R69;0,12
C0000054;5511914478111;01/09/2026 14:19;ENTREGUE;R74;0,12
C0000450;5511915662934;25/08/2026 19:27;ENTREGUE;R551;0,12
C0000253;5511977946127;13/09/2026 16:04;ENTREGUE;R319;0,12
C0000090;5511964520614;04/09/2026 14:04;ENTREGUE;R119;0,12
C0000229;5511966936428;29/08/2026 16:11;ENTREGUE;R291;0,12
C0000103;5511954018830;07/08/2026 14:36;ENTREGUE;R133;0,12
C0000311;5511980280155;05/08/2026 10:45;ENTREGUE;R385;0,12
C0000353;5511953011925;22/08/2026 19:57;ENTREGUE;R431;0,12
C0000487;5511960421010;28/07/2026 18:50;ENTREGUE;R598;0,12
C0000033;5511950477742;28/07/2026 10:12;ENTREGUE;R45;0,12
C0000362;5511969622247;08/08/2026 17:06;REVOGADO;R442;0,12
C0000202;5511994695784;22/08/2026 11:42;ENTREGUE;R245;0,12
C0000085;5511999170406;01/08/2026 18:35;ENTREGUE;R112;0,12
C0000113;5511974082804;22/09/2026 18:26;ID_CONFIRMADA;R141;0,12
C0000268;5511930421134;30/08/2026 16:59;ENTREGUE;R336;0,12
C0000218;5511994992096;07/09/2026 11:27;ENTREGUE;R276;0,12
C0000097;5511972336371;16/08/2026 10:51;ENTREGUE;R127;0,12
C0000265;5511944870711;10/09/2026 12:39;INTERACAO;R333;0,12
C0000196;5511996888739;14/09/2026 13:10;ENTREGUE;R234;0,12
C0000407;5511985572241;06/08/2026 12:31;ENTREGUE;R499;0,12
C0000243;5511932325960;04/09/2026 11:07;ENTREGUE;R306;0,12
C0000458;5511982897088;17/08/2026 19:51;ENTREGUE;R562;0,12
C0000037;5511958436637;19/08/2026 16:44;ENTREGUE;R49;0,12
C0000064;5511983998961;12/08/2026 15:12;ENTREGUE;R84;0,12
C0000431;5511987786253;14/08/2026 19:25;ENTREGUE;R525;0,12
C0000375;5511959317149;17/08/2026 12:24;ENTREGUE;R451;0,12
C0000007;5511950056581;30/08/2026 12:28;ENTREGUE;R12;0,12
C0000485;5511935754346;25/08/2026 12:14;ENTREGUE;R594;0,12
C0000219;5511933783708;30/08/2026 13:36;ENTREGUE;R277;0,12
C0000466;5511999477179;05/08/2026 15:24;ENTREGUE;R573;0,12
C0000312;5511923838227;01/08/2026 11:42;ENTREGUE;R386;0,12
C0000175;5511958199211;19/08/2026 16:19;ENTREGUE;R205;0,12
C0000485;5511934525524;31/08/2026 19:56;ENTREGUE;R596;0,12
C0000103;5511954018830;08/09/2026 14:48;ENTREGUE;R135;0,12
C0000466;5511939159454;13/08/2026 18:40;ENTREGUE;R574;0,12
C0000263;5511926782572;24/08/2026 09:23;ENTREGUE;R330;0,12
C0000425;5511929670044;11/09/2026 15:26;ENTREGUE;R518;0,12
C0000055;5511932084778;07/09/2026 19:13;ENTREGUE;R78;0,12
C0000332;5511949536330;07/08/2026 14:39;ENTREGUE;R408;0,12
C0000236;5511924607269;02/09/2026 15:48;ENTREGUE;R297;0,12
C0000119;5511983074216;29/08/2026 16:34;ENTREGUE;R147;0,12
C0000417;5511916767531;01/09/2026 12:08;ENTREGUE;R508;0,12
C0000440;5511976305077;08/08/2026 14:21;ENTREGUE;R543;0,12
C0000384;5511922342371;16/08/2026 08:55;ENTREGUE;R465;0,12
C0000245;5511981327320;25/08/2026 08:01;ENTREGUE;R309;0,12
C0000261;5511948199537;27/07/2026 17:41;ENTREGUE;R327;0,12
C0000182;5511919099261;21/09/2026 18:03;ENTREGUE;R219;0,12
C0000245;5511981327320;15/09/2026 17:16;ENTREGUE;R311;0,12
C0000322;5511997025331;25/08/2026 17:36;INTERACAO;R394;0,12
C0000043;5511946173157;01/09/2026 10:23;ENTREGUE;R58;0,12
C0000097;5511972336371;27/08/2026 13:11;ENTREGUE;R128;0,12
C0000043;5511946173157;07/09/2026 14:20;ENTREGUE;R59;0,12
C0000013;5511987736262;05/08/2026 13:44;ENTREGUE;R24;0,12
C0000444;5511955741665;30/08/2026 14:31;ENTREGUE;R548;0,12
C0000387;5511942962076;14/08/2026 13:02;ENTREGUE;R475;0,12
