id_cliente;celular;data_envio;status;id_msg;valor
C0000245;11991270313;06/08/2026;UNDELIV;S307;0,07
C0000159;11958465780;07/08/2026;DELIVRD;S207;0,07
C0000101;11958657117;29/07/2026;DELIVRD;S138;0,07
C0000150;11981441519;23/08/2026;DELIVRD;S190;0,07
C0000483;11979596863;28/07/2026;DELIVRD;S585;0,07
C0000204;11971193393;20/09/2026;DELIVRD;S256;0,07
C0000159;11958465780;13/09/2026;DELIVRD;S206;0,07
C0000076;11956095437;02/08/2026;DELIVRD;S104;0,07
C0000280;11938712948;16/09/2026;DELIVRD;S344;0,07
C0000236;11974418331;08/09/2026;DELIVRD;S297;0,07
C0000025;11998054615;28/07/2026;DELIVRD;S37;0,07
C0000062;11927013243;01/09/2026;DELIVRD;S94;0,07
C0000163;11945292504;22/08/2026;DELIVRD;S212;0,07
C0000101;11958657117;16/08/2026;DELIVRD;S139;0,07
C0000307;11974304823;09/09/2026;DELIVRD;S376;0,07
C0000098;11926444612;30/07/2026;DELIVRD;S135;0,07
C0000185;11930614492;19/09/2026;UNDELIV;S239;0,07
C0000200;11957685330;17/09/2026;DELIVRD;S248;0,07
C0000454;11999053757;16/09/2026;DELIVRD;S548;0,07
C0000276;11984016756;28/07/2026;DELIVRD;S341;0,07
C0000384;11963959197;20/09/2026;DELIVRD;S461;0,07
C0000385;11983492593;30/08/2026;DELIVRD;S465;0,07
C0000009;11960119651;31/07/2026;DELIVRD;S13;0,07
C0000051;11991804602;27/07/2026;DELIVRD;S80;0,07
C0000426;11945392370;17/08/2026;DELIVRD;S509;0,07
C0000319;11962342586;28/07/2026;DELIVRD;S387;0,07
C0000305;11994806492;06/08/2026;DELIVRD;S375;0,07
C0000040;11998641164;05/09/2026;UNDELIV;S54;0,07
C0000027;11970407340;11/08/2026;DELIVRD;S39;0,07
C0000328;11973918769;09/09/2026;DELIVRD;S405;0,07
C0000087;11974227366;31/08/2026;DELIVRD;S120;0,07
C0000205;11960357475;24/08/2026;DELIVRD;S257;0,07
C0000051;11991804602;02/08/2026;DELIVRD;S79;0,07
C0000312;11923838227;17/09/2026;DELIVRD;S383;0,07
C0000063;11963904155;20/09/2026;DELIVRD;S95;0,07
C0000453;11918774822;04/09/2026;UNDELIV;S543;0,07
C0000268;11947864772;21/09/2026;DELIVRD;S333;0,07
C0000041;11998742485;03/09/2026;DELIVRD;S58;0,07
C0000117;11951361818;23/09/2026;DELIVRD;S155;0,07
C0000343;11973674613;28/08/2026;DELIVRD;S422;0,07
C0000491;11924155900;26/08/2026;DELIVRD;S597;0,07
C0000451;11915892805;11/09/2026;DELIVRD;S538;0,07
;11975960711;14/08/2026;DELIVRD;S355;0,07
C0000422;11984059443;28/08/2026;DELIVRD;S506;0,07
C0000164;11958852098;09/09/2026;DELIVRD;S214;0,07
C0000420;11913994712;09/09/2026;DELIVRD;S504;0,07
C0000124;11942560305;18/08/2026;DELIVRD;S164;0,07
C0000333;11947216895;20/09/2026;DELIVRD;S414;0,07
C0000362;11985300576;25/08/2026;UNDELIV;S439;0,07
C0000025;11971124923;19/08/2026;DELIVRD;S36;0,07
C0000022;11961700055;04/08/2026;DELIVRD;S31;0,07
C0000156;11950165370;13/08/2026;UNDELIV;S199;0,07
C0000101;11958657117;18/09/2026;DELIVRD;S140;0,07
C0000416;11955329991;07/08/2026;DELIVRD;S496;0,07
C0000384;11945588515;31/07/2026;UNDELIV;S462;0,07
C0000304;11938164968;08/08/2026;DELIVRD;S370;0,07
C0000231;11948901209;25/08/2026;DELIVRD;S290;0,07
C0000119;11913051483;08/08/2026;DELIVRD;S158;0,07
C0000248;11984834795;24/08/2026;DELIVRD;S312;0,07
C0000232;11983245898;28/07/2026;DELIVRD;S292;0,07
C0000244;11990643207;24/09/2026;UNDELIV;S306;0,07
C0000056;11988458327;19/08/2026;DELIVRD;S87;0,07
C0000015;11945650176;07/08/2026;DELIVRD;S21;0,07
C0000322;11997025331;04/09/2026;DELIVRD;S392;0,07
C0000015;11950264926;17/09/2026;DELIVRD;S19;0,07
C0000427;11926222417;30/08/2026;DELIVRD;S512;0,07
C0000407;11969786268;04/09/2026;DELIVRD;S490;0,07
C0000364;11995437748;30/08/2026;DELIVRD;S443;0,07
C0000426;11927062291;16/09/2026;DELIVRD;S511;0,07
C0000453;11918774822;10/09/2026;UNDELIV;S544;0,07
C0000467;11936092407;29/07/2026;DELIVRD;S565;0,07
C0000365;11987989327;12/08/2026;CLICK;S446;0,07
C0000324;11920745888;10/09/2026;EXPIRED;S396;0,07
C0000141;11937765262;01/08/2026;DELIVRD;S181;0,07
C0000334;11923862962;21/08/2026;UNDELIV;S416;0,07
