document,phone,timestamp,outcome,call_id,cost
10000033537,+5511958173202,2026-08-02T17:15:00,WRONG_PERSON,vb-460,0.12
10000042366,+5511944863921,2026-09-10T11:26:00,NO_ANSWER,vb-575,0.12
10000044903,+5511919180999,2026-08-21T10:06:00,NO_ANSWER,vb-604,0.12
10000005169,+5511993176117,2026-09-20T14:15:00,NO_ANSWER,vb-68,0.12
10000027804,+5511938977615,2026-09-10T15:14:00,NO_ANSWER,vb-386,0.12
10000006300,+5511918163847,2026-08-30T18:44:00,ANSWERED,vb-93,0.12
10000014745,+5511949203644,2026-07-27T10:49:00,NO_ANSWER,vb-207,0.12
10000043419,+5511950884443,2026-08-28T19:36:00,NO_ANSWER,vb-587,0.12
10000015202,+5511922494970,2026-08-01T15:08:00,ANSWERED,vb-215,0.12
10000042790,+5511926222417,2026-08-03T09:43:00,NO_ANSWER,vb-579,0.12
10000021873,+5511965629268,2026-09-03T10:07:00,ANSWERED,vb-312,0.12
10000047678,+5511928021013,2026-09-21T15:59:00,WRONG_PERSON,vb-643,0.12
10000020206,+5511917786452,2026-08-07T15:00:00,INVALID_NUMBER,vb-288,0.12
10000046868,+5511931658249,2026-09-01T09:54:00,NO_ANSWER,vb-634,0.12
10000038091,+5511975425092,2026-09-24T14:26:00,NO_ANSWER,vb-514,0.12
10000005088,+5511922130508,2026-08-23T12:53:00,NO_ANSWER,vb-67,0.12
10000011304,+5511974082804,2026-08-04T10:46:00,IDENTITY_CONFIRMED,vb-163,0.12
10000033022,+5511952046364,2026-09-11T10:01:00,NO_ANSWER,vb-453,0.12
10000028100,+5511947038339,2026-09-21T14:13:00,NO_ANSWER,vb-392,0.12
10000019208,+5511953066216,2026-09-06T17:59:00,NO_ANSWER,vb-274,0.12
10000022250,+5511931600382,2026-08-23T16:06:00,NO_ANSWER,vb-316,0.12
10000043257,+5511923332334,2026-09-08T16:20:00,NO_ANSWER,vb-585,0.12
10000043680,+5511947508257,2026-09-10T15:42:00,ANSWERED,vb-589,0.12
10000041980,+5511973574016,2026-08-11T18:51:00,NO_ANSWER,vb-568,0.12
10000040150,+5511945328305,2026-08-19T18:48:00,NO_ANSWER,vb-543,0.12
10000029181,+5511913954845,2026-07-29T08:30:00,ANSWERED,vb-401,0.12
10000042285,+5511926912191,2026-08-24T12:40:00,NO_ANSWER,vb-574,0.12
10000009822,+5511926444612,2026-08-15T11:32:00,NO_ANSWER,vb-135,0.12
10000030279,+5511954440977,2026-08-24T14:59:00,NO_ANSWER,vb-420,0.12
10000019461,+5511914102122,2026-08-27T13:47:00,NO_ANSWER,vb-278,0.12
10000025356,+5511977946127,2026-08-04T12:14:00,NO_ANSWER,vb-347,0.12
10000038253,+5511918791292,2026-09-19T19:37:00,ANSWERED,vb-516,0.12
10000028100,+5511938833029,2026-09-10T14:29:00,ANSWERED,vb-393,0.12
10000018651,+5511945568288,2026-08-06T12:22:00,INVALID_NUMBER,vb-268,0.12
10000045624,+5511955147351,2026-08-18T18:59:00,NO_ANSWER,vb-618,0.12
10000040584,+5511996388439,2026-09-05T13:21:00,WRONG_PERSON,vb-551,0.12
10000020125,+5511961226775,2026-08-27T17:20:00,NO_ANSWER,vb-287,0.12
10000047244,+5511953309319,2026-08-18T11:26:00,NO_ANSWER,vb-638,0.12
10000028452,+5511916618423,2026-07-29T19:50:00,WRONG_PERSON,vb-394,0.12
10000008265,+5511970549373,2026-08-11T16:55:00,ANSWERED,vb-114,0.12
10000032808,+5511981473736,2026-08-08T09:51:00,WRONG_PERSON,vb-451,0.12
10000025941,+5511946231955,2026-09-13T16:44:00,NO_ANSWER,vb-358,0.12
10000006564,+5511927463800,2026-09-07T09:30:00,IDENTITY_CONFIRMED,vb-95,0.12
10000001414,+5511919196777,2026-09-24T19:24:00,NO_ANSWER,vb-15,0.12
10000002062,+5511965259205,2026-08-13T13:53:00,NO_ANSWER,vb-25,0.12
10000001252,+5511969476001,2026-08-19T12:21:00,NO_ANSWER,vb-12,0.12
10000028029,+5511959891348,2026-09-11T14:13:00,NO_ANSWER,vb-388,0.12
10000022845,+5511935838575,2026-08-07T14:33:00,NO_ANSWER,vb-323,0.12
10000006726,+5511913523729,2026-09-16T15:52:00,NO_ANSWER,vb-100,0.12
10000039578,+5511970597948,2026-09-07T10:41:00,NO_ANSWER,vb-533,0.12
10000016870,+5511922485824,2026-09-07T09:41:00,INVALID_NUMBER,vb-240,0.12
10000002658,+5511999600766,2026-08-02T19:45:00,NO_ANSWER,vb-34,0.12
10000039900,+5511973207479,2026-08-25T09:11:00,ANSWERED,vb-539,0.12
10000013269,+5511941157840,2026-08-04T08:52:00,NO_ANSWER,vb-188,0.12
10000027138,+5511943999060,2026-09-01T08:35:00,ANSWERED,vb-375,0.12
10000049107,+5511924155900,2026-08-14T08:24:00,NO_ANSWER,vb-660,0.12
10000004006,+5511998641164,2026-07-30T11:16:00,INVALID_NUMBER,vb-54,0.12
10000008931,+5511934220459,2026-08-16T16:02:00,NO_ANSWER,vb-121,0.12
10000014745,+5511949203644,2026-08-11T14:05:00,NO_ANSWER,vb-206,0.12
10000046515,+5511956544270,2026-08-22T10:55:00,NO_ANSWER,vb-629,0.12
10000025607,+5511941522559,2026-08-20T13:23:00,NO_ANSWER,vb-351,0.12
10000001333,+5511935487660,2026-09-01T08:11:00,ANSWERED,vb-13,0.12
10000040312,+5511946613462,2026-08-14T12:39:00,NO_ANSWER,vb-547,0.12
10000046434,+5511969825080,2026-07-28T16:18:00,INVALID_NUMBER,vb-626,0.12
10000013340,+5511930699187,2026-09-21T19:21:00,ANSWERED,vb-189,0.12
10000005088,+5511922130508,2026-08-10T12:31:00,NO_ANSWER,vb-66,0.12
10000021520,+5511984776858,2026-08-19T14:25:00,NO_ANSWER,vb-305,0.12
10000016012,+5511911851322,2026-08-18T17:14:00,NO_ANSWER,vb-226,0.12
10000000523,+5511963606628,2026-08-14T19:19:00,NO_ANSWER,vb-4,0.12
10000005916,+5511958678896,2026-08-05T15:17:00,NO_ANSWER,vb-86,0.12
10000037443,+5511976547299,2026-09-14T13:12:00,IDENTITY_CONFIRMED,vb-504,0.12
10000005320,+5511948412328,2026-09-05T15:24:00,NO_ANSWER,vb-71,0.12
10000016446,+5511958852098,2026-09-01T11:43:00,IDENTITY_CONFIRMED,vb-234,0.12
10000043508,+5511997652074,2026-08-03T14:26:00,NO_ANSWER,vb-588,0.12
