customer_ref,wa_number,event_at,status,message_id
C0000473,5511911608113,2026-08-07 10:47:00,read,wamid.265
C0000144,5511992861016,2026-08-15 19:02:00,delivered,wamid.b5
C0000191,5511964086249,2026-09-24 14:31:00,failed_not_on_whatsapp,wamid.f6
C0000486,5511974142265,2026-09-15 08:30:00,delivered,wamid.274
C0000337,5511975663681,2026-08-19 19:46:00,read,wamid.1a5
C0000383,5511988918579,2026-07-29 15:56:00,read,wamid.1df
C0000073,5511956892354,2026-08-12 16:54:00,replied,wamid.55
C0000234,5511983665549,2026-08-01 10:08:00,blocked,wamid.12a
C0000095,5511948124318,2026-09-15 10:25:00,delivered,wamid.73
C0000210,5511925278272,2026-08-14 10:26:00,failed_not_on_whatsapp,wamid.10e
C0000308,5511950177237,2026-08-02 10:15:00,failed_not_on_whatsapp,wamid.181
C0000098,5511926444612,2026-08-11 18:02:00,read,wamid.7b
C0000166,5511971303434,2026-09-11 08:38:00,delivered,wamid.d8
C0000363,5511946685578,2026-08-07 15:50:00,delivered,wamid.1cd
C0000420,5511913994712,2026-07-27 18:57:00,failed_not_on_whatsapp,wamid.21f
C0000157,5511989131271,2026-08-05 10:23:00,read,wamid.c3
C0000344,5511913901068,2026-09-18 16:54:00,wrong_person,wamid.1af
C0000259,5511961121302,2026-09-08 11:40:00,failed_not_on_whatsapp,wamid.14d
C0000191,5511963917932,2026-09-10 17:39:00,failed_not_on_whatsapp,wamid.f5
C0000458,5511928503943,2026-08-04 18:19:00,failed_not_on_whatsapp,wamid.250
C0000253,5511977946127,2026-08-27 12:02:00,read,wamid.149
C0000485,5511935754346,2026-09-04 18:30:00,failed_not_on_whatsapp,wamid.271
C0000442,5511996029038,2026-09-07 15:26:00,failed_not_on_whatsapp,wamid.23f
C0000470,5511969590884,2026-08-17 15:10:00,read,wamid.260
C0000281,5511912912708,2026-08-13 08:43:00,failed_not_on_whatsapp,wamid.165
C0000340,5511916118522,2026-09-06 13:38:00,delivered,wamid.1ab
C0000369,5511958663129,2026-09-24 08:39:00,read,wamid.1d5
C0000437,5511927948365,2026-08-05 17:05:00,read,wamid.236
